product_id,category,region,store_id,date,price,discount,units_sold,revenue
PROD_011,Books,North,STORE_B,2023-10-09,19.49,30,184,2510.31
PROD_002,Electronics,Northwest,STORE_B,2023-02-02,139.67,0,22,3072.74
PROD_009,Beauty,West,STORE_A,2024-10-27,31.64,30,121,2679.91
PROD_008,Sports,North,STORE_E,2023-06-13,84.29,0,40,3371.6
PROD_003,Clothing,Northeast,STORE_D,2023-04-15,50.24,5,54,2577.31
PROD_014,Electronics,Central,STORE_F,2023-02-14,585.89,40,2,703.07
PROD_015,Sports,South,STORE_G,2024-07-19,218.61,20,16,2798.21
PROD_015,Sports,West,STORE_F,2024-12-22,189.63,10,27,4608.01
PROD_013,Health,South,STORE_E,2023-08-27,48.67,0,76,3698.92
PROD_008,Sports,East,STORE_F,2024-01-15,91.21,0,30,2736.3
PROD_012,Automotive,East,STORE_B,2024-06-30,140.25,10,36,4544.1
PROD_007,Furniture,West,STORE_E,2024-12-02,453.61,0,6,2721.66
PROD_001,Electronics,North,STORE_D,2023-11-20,316.32,0,15,4744.8
PROD_015,Sports,West,STORE_F,2024-11-02,204.23,25,25,3829.31
PROD_011,Books,East,STORE_H,2023-09-29,20.48,0,124,2539.52
PROD_009,Beauty,Northwest,STORE_E,2024-08-20,36.6,10,118,3886.92
PROD_003,Clothing,South,STORE_H,2023-02-18,54.71,20,52,2275.94
PROD_003,Clothing,South,STORE_G,2024-01-30,50.22,5,46,2194.61
PROD_009,Beauty,North,STORE_E,2024-11-27,33.24,5,157,4957.75
PROD_009,Beauty,Northeast,STORE_E,2023-04-25,36.35,25,98,2671.73
PROD_001,Electronics,East,STORE_E,2024-06-03,322.28,20,13,3351.71
PROD_005,Groceries,East,STORE_D,2024-01-18,12.14,25,210,1912.05
PROD_013,Health,Northeast,STORE_A,2024-05-15,47.85,20,66,2526.48
PROD_015,Sports,West,STORE_E,2023-03-01,190.77,0,9,1716.93
PROD_002,Electronics,Southeast,STORE_B,2023-03-12,147.11,0,15,2206.65
PROD_003,Clothing,Southeast,STORE_C,2024-07-16,52.11,0,74,3856.14
PROD_010,Toys,West,STORE_G,2024-07-06,24.94,40,162,2424.17
PROD_012,Automotive,Northwest,STORE_E,2024-11-18,126.6,0,42,5317.2
PROD_009,Beauty,South,STORE_H,2023-09-11,35.92,5,71,2422.8
PROD_010,Toys,West,STORE_D,2023-01-08,25.03,10,113,2545.55
PROD_004,Clothing,North,STORE_B,2023-12-05,72.26,5,61,4187.47
PROD_011,Books,West,STORE_H,2024-07-06,21.75,5,169,3491.96
PROD_010,Toys,West,STORE_H,2024-04-29,24.2,0,143,3460.6
PROD_002,Electronics,Northeast,STORE_G,2024-03-09,141.85,0,25,3546.25
PROD_001,Electronics,North,STORE_B,2024-02-17,290.94,15,6,1483.79
PROD_002,Electronics,West,STORE_D,2023-07-14,154.89,0,17,2633.13
PROD_003,Clothing,Southeast,STORE_E,2023-09-13,51.51,0,65,3348.15
PROD_013,Health,North,STORE_B,2024-10-29,42.1,5,77,3079.62
PROD_002,Electronics,East,STORE_D,2024-02-21,151.27,5,19,2730.42
PROD_007,Furniture,East,STORE_A,2024-01-24,497.68,25,27,10078.02
PROD_015,Sports,Central,STORE_H,2024-03-09,181.74,40,19,2071.84
PROD_013,Health,East,STORE_H,2023-07-14,47.22,30,82,2710.43
PROD_010,Toys,Northeast,STORE_A,2023-02-28,27.39,0,80,2191.2
PROD_015,Sports,North,STORE_C,2024-06-04,192.67,0,20,3853.4
PROD_010,Toys,West,STORE_B,2024-02-18,25.56,40,98,1502.93
PROD_004,Clothing,South,STORE_A,2024-03-05,77.15,20,35,2160.2
PROD_006,Groceries,West,STORE_E,2024-11-16,8.62,5,554,4536.71
PROD_007,Furniture,Central,STORE_C,2024-04-13,500.13,5,7,3325.86
PROD_002,Electronics,Southeast,STORE_A,2024-09-28,148.96,5,15,2122.68
PROD_002,Electronics,Central,STORE_D,2023-05-16,136.11,20,20,2177.76
PROD_015,Sports,Northeast,STORE_D,2023-10-19,213.1,0,26,5540.6
