product_id,category,region,store_id,date,price,discount,units_sold,revenue,sale_day,sale_month,sale_year,sale_quarter,weekday_num,is_weekend,year_month,net_price,price_x_discount,avg_units_by_product,std_units_by_product,avg_units_by_category,avg_units_by_region,avg_units_by_store,total_revenue_by_product
PROD_011,Books,North,STORE_B,2023-10-09,19.49,30,184,2510.31,9,10,2023,4,0,0,2023-10,13.64,584.7,185.31656804733728,118.66781713088062,185.31656804733728,108.9824,107.18600953895071,1138267.86
PROD_002,Electronics,Northwest,STORE_B,2023-02-02,139.67,0,22,3072.74,2,2,2023,1,3,0,2023-02,139.67,0.0,25.618768328445746,24.167944245772304,14.390827517447658,104.58473282442748,107.18600953895071,1182141.79
PROD_009,Beauty,West,STORE_A,2024-10-27,31.64,30,121,2679.91,27,10,2024,4,6,1,2024-10,22.15,949.2,108.44701986754967,69.21008156157887,108.44701986754967,97.36334405144694,92.66183574879227,1044407.55
PROD_008,Sports,North,STORE_E,2023-06-13,84.29,0,40,3371.6,13,6,2023,2,1,0,2023-06,84.29,0.0,43.113846153846154,28.793474252756642,31.237730061349694,108.9824,98.56913183279742,1111153.87
PROD_003,Clothing,Northeast,STORE_D,2023-04-15,50.24,5,54,2577.31,15,4,2023,2,5,1,2023-04,47.73,251.2,74.41158536585365,48.28456157795744,60.807453416149066,108.28061224489795,102.1552,1096662.88
PROD_014,Electronics,Central,STORE_F,2023-02-14,585.89,40,2,703.07,14,2,2023,1,1,0,2023-02,351.53,23435.6,5.616071428571429,4.188638939088318,14.390827517447658,97.49830508474577,104.50413223140495,1025349.73
PROD_015,Sports,South,STORE_G,2024-07-19,218.61,20,16,2798.21,19,7,2024,3,4,0,2024-07,174.89,4372.2,19.434250764525995,18.31794322912682,31.237730061349694,117.15327380952381,110.40345368916797,1160389.6300000001
PROD_015,Sports,West,STORE_F,2024-12-22,189.63,10,27,4608.01,22,12,2024,4,6,1,2024-12,170.67,1896.3,19.434250764525995,18.31794322912682,31.237730061349694,97.36334405144694,104.50413223140495,1160389.6300000001
PROD_013,Health,South,STORE_E,2023-08-27,48.67,0,76,3698.92,27,8,2023,3,6,1,2023-08,48.67,0.0,85.633431085044,72.64824962236209,85.633431085044,117.15327380952381,98.56913183279742,1190619.87
PROD_008,Sports,East,STORE_F,2024-01-15,91.21,0,30,2736.3,15,1,2024,1,0,0,2024-01,91.21,0.0,43.113846153846154,28.793474252756642,31.237730061349694,95.08077544426494,104.50413223140495,1111153.87
PROD_012,Automotive,East,STORE_B,2024-06-30,140.25,10,36,4544.1,30,6,2024,2,6,1,2024-06,126.22,1402.5,27.56160458452722,13.720519650759424,27.56160458452722,95.08077544426494,107.18600953895071,1132420.5
PROD_007,Furniture,West,STORE_E,2024-12-02,453.61,0,6,2721.66,2,12,2024,4,0,0,2024-12,453.61,0.0,7.451790633608815,7.606319402383273,7.451790633608815,97.36334405144694,98.56913183279742,1197206.24
PROD_001,Electronics,North,STORE_D,2023-11-20,316.32,0,15,4744.8,20,11,2023,4,0,0,2023-11,316.32,0.0,11.690184049079754,7.541007602325399,14.390827517447658,108.9824,102.1552,1030698.09
PROD_015,Sports,West,STORE_F,2024-11-02,204.23,25,25,3829.31,2,11,2024,4,5,1,2024-11,153.17,5105.75,19.434250764525995,18.31794322912682,31.237730061349694,97.36334405144694,104.50413223140495,1160389.6300000001
PROD_011,Books,East,STORE_H,2023-09-29,20.48,0,124,2539.52,29,9,2023,3,4,0,2023-09,20.48,0.0,185.31656804733728,118.66781713088062,185.31656804733728,95.08077544426494,110.53377265238879,1138267.86
PROD_009,Beauty,Northwest,STORE_E,2024-08-20,36.6,10,118,3886.92,20,8,2024,3,1,0,2024-08,32.94,366.0,108.44701986754967,69.21008156157887,108.44701986754967,104.58473282442748,98.56913183279742,1044407.55
PROD_003,Clothing,South,STORE_H,2023-02-18,54.71,20,52,2275.94,18,2,2023,1,5,1,2023-02,43.77,1094.2,74.41158536585365,48.28456157795744,60.807453416149066,117.15327380952381,110.53377265238879,1096662.88
PROD_003,Clothing,South,STORE_G,2024-01-30,50.22,5,46,2194.61,30,1,2024,1,1,0,2024-01,47.71,251.1,74.41158536585365,48.28456157795744,60.807453416149066,117.15327380952381,110.40345368916797,1096662.88
PROD_009,Beauty,North,STORE_E,2024-11-27,33.24,5,157,4957.75,27,11,2024,4,2,0,2024-11,31.58,166.2,108.44701986754967,69.21008156157887,108.44701986754967,108.9824,98.56913183279742,1044407.55
PROD_009,Beauty,Northeast,STORE_E,2023-04-25,36.35,25,98,2671.73,25,4,2023,2,1,0,2023-04,27.26,908.75,108.44701986754967,69.21008156157887,108.44701986754967,108.28061224489795,98.56913183279742,1044407.55
PROD_001,Electronics,East,STORE_E,2024-06-03,322.28,20,13,3351.71,3,6,2024,2,0,0,2024-06,257.82,6445.6,11.690184049079754,7.541007602325399,14.390827517447658,95.08077544426494,98.56913183279742,1030698.09
PROD_005,Groceries,East,STORE_D,2024-01-18,12.14,25,210,1912.05,18,1,2024,1,3,0,2024-01,9.1,303.5,323.66473988439304,289.29728508736065,379.8224582701062,95.08077544426494,102.1552,1265688.08
PROD_013,Health,Northeast,STORE_A,2024-05-15,47.85,20,66,2526.48,15,5,2024,2,2,0,2024-05,38.28,957.0,85.633431085044,72.64824962236209,85.633431085044,108.28061224489795,92.66183574879227,1190619.87
PROD_015,Sports,West,STORE_E,2023-03-01,190.77,0,9,1716.93,1,3,2023,1,2,0,2023-03,190.77,0.0,19.434250764525995,18.31794322912682,31.237730061349694,97.36334405144694,98.56913183279742,1160389.6300000001
PROD_002,Electronics,Southeast,STORE_B,2023-03-12,147.11,0,15,2206.65,12,3,2023,1,6,1,2023-03,147.11,0.0,25.618768328445746,24.167944245772304,14.390827517447658,90.33863275039745,107.18600953895071,1182141.79
PROD_003,Clothing,Southeast,STORE_C,2024-07-16,52.11,0,74,3856.14,16,7,2024,3,1,0,2024-07,52.11,0.0,74.41158536585365,48.28456157795744,60.807453416149066,90.33863275039745,94.81498470948013,1096662.88
PROD_010,Toys,West,STORE_G,2024-07-06,24.94,40,162,2424.17,6,7,2024,3,5,1,2024-07,14.96,997.6,147.84527220630372,96.01753378999314,147.84527220630372,97.36334405144694,110.40345368916797,1158169.09
PROD_012,Automotive,Northwest,STORE_E,2024-11-18,126.6,0,42,5317.2,18,11,2024,4,0,0,2024-11,126.6,0.0,27.56160458452722,13.720519650759424,27.56160458452722,104.58473282442748,98.56913183279742,1132420.5
PROD_009,Beauty,South,STORE_H,2023-09-11,35.92,5,71,2422.8,11,9,2023,3,0,0,2023-09,34.12,179.6,108.44701986754967,69.21008156157887,108.44701986754967,117.15327380952381,110.53377265238879,1044407.55
